VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2.0,2021-01-19 18:58:54,2021-01-19 19:03:49,N,1.0,134,134,2.0,0.7,5.0,1.0,0.5,0.0,0.0,,0.3,6.8,2.0,1.0,0.0
2.0,2021-01-19 16:54:19,2021-01-19 17:05:32,N,1.0,116,152,1.0,1.41,9.0,1.0,0.5,0.0,0.0,,0.3,10.8,2.0,1.0,0.0
2.0,2021-01-12 17:00:29,2021-01-12 17:15:18,N,1.0,43,48,1.0,3.03,12.5,1.0,0.5,0.0,0.0,,0.3,17.05,2.0,1.0,2.75
2.0,2021-01-08 09:34:44,2021-01-08 09:42:18,N,1.0,74,75,1.0,1.32,7.0,0.0,0.5,1.0,0.0,,0.3,8.8,1.0,1.0,0.0
2.0,2021-01-18 12:38:10,2021-01-18 12:38:42,N,1.0,193,193,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0
1.0,2021-01-07 09:26:25,2021-01-07 09:44:21,N,1.0,166,163,1.0,4.1,16.0,2.75,0.5,3.9,0.0,,0.3,23.45,1.0,1.0,2.75
2.0,2021-01-14 15:04:48,2021-01-14 16:50:45,N,1.0,169,127,1.0,17.09,71.5,0.0,0.5,2.75,0.0,,0.3,75.05,1.0,1.0,0.0
1.0,2021-01-09 13:39:28,2021-01-09 14:42:37,Y,1.0,228,49,1.0,6.6,39.5,0.0,0.5,0.0,0.0,,0.3,40.3,3.0,1.0,0.0
2.0,2021-01-04 13:59:21,2021-01-04 14:43:52,N,1.0,265,119,1.0,21.81,61.5,0.0,0.5,2.75,6.12,,0.3,71.17,1.0,1.0,0.0
1.0,2021-01-23 12:55:22,2021-01-23 12:58:20,N,1.0,41,41,1.0,0.6,4.5,0.0,0.5,0.0,0.0,,0.3,5.3,2.0,1.0,0.0
2.0,2021-01-03 17:00:55,2021-01-03 17:08:52,N,1.0,74,263,2.0,2.43,9.0,0.0,0.5,2.51,0.0,,0.3,15.06,1.0,1.0,2.75
2.0,2021-01-31 10:38:32,2021-01-31 10:49:28,N,1.0,74,262,1.0,2.41,10.0,0.0,0.5,0.68,0.0,,0.3,14.23,1.0,1.0,2.75
2.0,2021-01-23 10:00:21,2021-01-23 10:02:53,N,1.0,41,24,1.0,0.43,4.0,0.0,0.5,0.96,0.0,,0.3,5.76,1.0,1.0,0.0
2.0,2021-01-11 20:34:48,2021-01-11 20:48:52,N,1.0,43,224,1.0,5.45,17.5,0.5,0.5,4.31,0.0,,0.3,25.86,1.0,1.0,2.75
2.0,2021-01-12 06:24:30,2021-01-12 06:36:18,N,1.0,263,194,1.0,3.77,12.5,0.0,0.5,0.0,6.12,,0.3,19.42,2.0,1.0,0.0
2.0,2021-01-18 16:25:51,2021-01-18 16:32:29,N,1.0,74,236,1.0,1.66,7.5,1.0,0.5,3.0,0.0,,0.3,12.3,1.0,1.0,0.0
2.0,2021-01-07 08:02:16,2021-01-07 08:16:17,N,1.0,74,140,1.0,3.62,14.0,0.0,0.5,2.63,0.0,,0.3,20.18,1.0,1.0,2.75
2.0,2021-01-15 18:20:37,2021-01-15 18:30:33,N,1.0,75,237,1.0,1.9,9.5,1.0,0.5,2.81,0.0,,0.3,16.86,1.0,1.0,2.75
2.0,2021-01-04 14:44:58,2021-01-04 14:56:05,N,1.0,43,236,1.0,1.74,9.5,0.0,0.5,0.0,0.0,,0.3,13.05,1.0,1.0,2.75
2.0,2021-01-08 09:21:41,2021-01-08 09:40:39,N,1.0,244,168,1.0,2.78,14.5,0.0,0.5,2.0,0.0,,0.3,17.3,1.0,1.0,0.0
